Type,Source,Destination,Taille (octets),Texte Alt,Ancrage,Code de statut,Statut,Suivre,Cible,Relation,Type de chemin,Chemin du lien,Position du lien,Origine du lien
Hyperlien,https://www.sortlist.com/agency/the-colours-box,http://www.thecoloursbox.com/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,http://www.thecoloursbox.com,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/i/app-development/netherlands-nl,https://www.startupbootcamp.org/accelerator/amsterdam/,166,,Startupbootcamp Amsterdam,301,Moved Permanently,true,_blank,,Absolu,//body/div/main/div/div[2]/div/div[8]/div/div/div[1]/div/ol/li[5]/ul/li[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/agence-k,https://agencek.ch/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,https://agencek.ch,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/the-oval-office-fr,https://www.weareoval.fr/?utm_source=sortlist&utm_medium=profile&utm_campaign=,162,,https://www.weareoval.fr,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/coco-creatividad-2,http://www.cococreatividad.com/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,http://www.cococreatividad.com,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/wirelab,http://www.wirelab.nl/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,http://www.wirelab.nl,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/grupo-punto,http://www.grupopuntoeventos.com/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,http://www.grupopuntoeventos.com,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/agence-comquest,http://www.comquest.fr/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,http://www.comquest.fr,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/monobo,http://monobo.es/?utm_source=sortlist&utm_medium=profile&utm_campaign=,24,,http://monobo.es,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
Hyperlien,https://www.sortlist.com/agency/18h08,https://18h08.fr/?utm_source=sortlist&utm_medium=profile&utm_campaign=,0,,https://18h08.fr,301,Moved Permanently,true,_blank,noopener,Absolu,//body/div/main/div/div[2]/div/div/div/div/div[7]/div/div[2]/div/div/div[2]/a,Contenu,HTML
