URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
https://www.sortlist.com/blog/chatbots-improve-brand-image/,Blog,50,3003,16760,7375,26206,500,0,63,1091,3518,2391,4786,275,0
https://www.sortlist.com/blog/performance-coach/,Blog,50,5263,10930,5424,20368,450,0,75,1091,3445,1439,3756,152,0
https://www.sortlist.com/blog/ecommerce-tips/,Blog,59,4680,15961,5130,20604,207,0,78,998,3117,1264,3919,143,0
https://www.sortlist.com/blog/rebranding-process/,Blog,36,5587,30765,15017,42675,814,0,46,1066,5192,2899,7492,361,0
https://www.sortlist.com/blog/product-photography-pricing/,Blog,54,5126,22816,13818,25919,160,0,66,1091,3962,3571,5193,135,0
https://www.sortlist.com/blog/author/gauravroy/page/3/,Blog,57,3302,15359,4616,19807,366,0,83,946,2120,1550,4033,159,0
https://www.sortlist.com/blog/dynamic-website/,Blog,53,4682,13700,5669,21294,379,0,65,949,3764,2182,4676,151,0
https://www.sortlist.com/blog/restaurant-business-plan/,Blog,53,4682,14181,7037,19197,294,0,71,950,2097,1841,4411,330,0
https://www.sortlist.com/blog/virtual-pop-up-shop/,Blog,31,5590,32128,15737,44178,1328,0,39,722,5574,3333,8396,537,0
https://www.sortlist.com/blog/market-based-pricing/,Blog,56,5580,15859,5785,19575,244,0,53,762,3608,2202,4804,382,0
https://www.sortlist.com/blog/how-to-hire-an-agency/,Blog,48,5863,8719,5890,19292,514,0,73,1174,3124,1854,3672,172,0
https://www.sortlist.com/blog/web-programmer/,Blog,50,5263,11321,6448,18939,403,0,73,1091,3451,1941,3797,148,0
https://www.sortlist.com/blog/social-media-small-business-marketing/,Blog,63,3613,17258,6195,17453,10,0,74,957,3398,2823,3437,0,0
https://www.sortlist.com/blog/voice-search-development/,Blog,53,5266,16780,7335,19687,271,0,56,1173,2896,2585,4219,331,0
https://www.sortlist.com/blog/corporate-storytelling/,Blog,45,6164,16169,6868,25875,558,0,64,1253,2790,2526,4846,295,0
https://www.sortlist.com/blog/ai-social-media/,Blog,58,5263,14449,5263,19446,206,0,51,1080,2741,2087,4629,521,0
https://www.sortlist.com/blog/what-to-expect-agency-roadmap/,Blog,56,3002,15138,8981,19972,262,0,49,1114,3013,2282,4878,506,0
